formula,naive,naiveuc,binary,binaryuc
pltl-12-0-6-3-0-200003.alaska,1,1,1,1
pltl-12-0-12-3-0-200007.alaska,1,1,1,1
pltl-12-0-58-3-0-200006.alaska,1,1,1,1
lift_11.alaska,2,2,2,2
pltl-5-0-32-3-0-200005.alaska,1,1,1,1
unsat112.txt,3,3,3,3
spec_cl_14.alaska,100,100,2,2
unsat171.txt,3,3,3,3
pltl-12-0-14-3-0-200005.alaska,1,1,1,1
unsat104.txt,3,3,3,3
counter15.alaska,3,2,2,2
pltl-12-0-7-3-0-200005.alaska,1,1,1,1
unsat41.txt,3,3,3,3
counterLinear15.alaska,3,2,2,2
unsat105.txt,3,3,3,3
pltl-5-0-22-3-0-200002.alaska,1,1,1,1
pltl-12-0-84-3-0-200000.alaska,1,1,1,1
unsat149.txt,3,3,3,3
pltl-12-0-47-3-0-200002.alaska,1,1,1,1
counterCarry16.alaska,100,2,2,2
spec_c_4.alaska,100,100,1,1
unsat198.txt,5,5,5,5
pltl-12-0-19-3-0-200006.alaska,1,1,1,1
phltl_25_24.alaska,2,2,2,2
pltl-12-0-40-3-0-200007.alaska,1,1,1,1
pltl-12-0-53-3-0-200003.alaska,1,1,1,1
pltl-5-0-18-3-0-200000.alaska,1,1,1,1
forobotsr1f0_FGn_mf.alaska,2,2,2,2
pltl-12-0-84-3-0-200002.alaska,100,100,100,100
unsat103.txt,3,3,3,3
spec_c_8.alaska,100,100,1,1
pltl-5-0-11-3-0-200000.alaska,1,1,1,1
unsat203.txt,3,3,3,3
pltl-12-0-22-3-0-200009.alaska,1,1,1,1
pltl-5-0-35-3-0-200005.alaska,1,1,1,1
unsat161.txt,3,3,3,3
pltl-5-0-32-3-0-200000.alaska,1,1,1,1
pltl-5-0-17-3-0-200003.alaska,1,1,1,1
pltl-5-0-4-3-0-200009.alaska,1,1,1,1
pltl-12-0-16-3-0-200002.alaska,1,1,1,1
unsat69.txt,6,6,6,6
unsat143.txt,3,3,3,3
spec_cl_5.alaska,1,1,1,1
counterLinear7.alaska,2,3,2,2
lift_f_l_13.alaska,100,4,4,4
pltl-5-0-15-3-0-200005.alaska,1,1,1,1
pltl-12-0-54-3-0-200004.alaska,100,100,100,100
counter10.alaska,2,2,2,2
pltl-12-0-1-3-0-200008.alaska,1,1,1,1
unsat136.txt,3,3,3,3
unsat52.txt,4,4,4,4
lift_b_l_13.alaska,100,2,3,3
pltl-12-0-96-3-0-200005.alaska,100,100,100,100
lift_b_15.alaska,2,2,2,2
pltl-12-0-47-3-0-200008.alaska,1,1,1,1
lift_f_l_16.alaska,100,100,3,3
pltl-5-0-19-3-0-200007.alaska,1,1,1,1
O2formula400.alaska,100,100,100,100
pltl-12-0-66-3-0-200001.alaska,1,1,1,1
demo-v3_cl_9.alaska,2,2,2,2
pltl-12-0-9-3-0-200005.alaska,1,1,1,1
unsat195.txt,5,5,5,5
pltl-5-0-12-3-0-200001.alaska,1,1,1,1
forobotsr1f0_GF_mf.alaska,2,2,2,2
unsat84.txt,6,6,6,6
lift_6.alaska,2,2,2,2
pltl-5-0-22-3-0-200005.alaska,1,1,1,1
O1formula90.alaska,2,2,2,2
pltl-12-0-22-3-0-200007.alaska,1,1,1,1
lift_f_4.alaska,2,2,2,2
O1formula7.alaska,2,2,2,2
pltl-12-0-66-3-0-200007.alaska,100,100,100,100
pltl-12-0-10-3-0-200004.alaska,1,1,1,1
phltl_9_8.alaska,2,3,3,3
unsat122.txt,8,8,8,8
forobotsr1f0_FGn_ra.alaska,2,2,2,2
unsat210.txt,2,2,2,2
pltl-5-0-3-3-0-200002.alaska,1,1,1,1
pltl-12-0-60-3-0-200007.alaska,1,1,1,1
pltl-12-0-39-3-0-200005.alaska,1,1,1,1
pltl-12-0-57-3-0-200002.alaska,1,1,1,1
phltl_32_31.alaska,2,2,2,2
phltl_26_25.alaska,2,3,2,3
unsat153.txt,3,3,3,3
forobotsr1f0_FGn_ff.alaska,2,2,2,2
lift_l_17.alaska,3,2,2,2
pltl-12-0-11-3-0-200005.alaska,1,1,1,1
pltl-5-0-10-3-0-200009.alaska,1,1,1,1
pltl-5-0-21-3-0-200005.alaska,1,1,1,1
O2formula1000.alaska,100,100,100,100
pltl-12-0-2-3-0-200004.alaska,1,1,1,1
phltl_30_29.alaska,3,2,2,2
pltl-5-0-10-3-0-200003.alaska,1,1,1,1
unsat158.txt,3,3,3,3
pltl-5-0-20-3-0-200001.alaska,1,1,1,1
unsat117.txt,5,5,5,5
pltl-12-0-60-3-0-200001.alaska,100,100,100,100
pltl-12-0-45-3-0-200007.alaska,1,1,1,1
pltl-5-0-40-3-0-200003.alaska,1,1,1,1
pltl-12-0-47-3-0-200007.alaska,1,1,1,1
unsat213.txt,3,3,3,3
pltl-12-0-58-3-0-200003.alaska,100,100,100,100
unsat157.txt,3,3,3,3
lift_b_f_17.alaska,2,5,2,5
pltl-12-0-44-3-0-200001.alaska,1,1,1,1
lift_b_f_l_16.alaska,100,100,3,3
pltl-12-0-5-3-0-200005.alaska,1,1,1,1
pltl-12-0-16-3-0-200007.alaska,1,1,1,1
pltl-5-0-13-3-0-200004.alaska,1,1,1,1
pltl-12-0-26-3-0-200006.alaska,1,1,1,1
unsat48.txt,3,3,3,3
forobotsr1f0_Gn_ra.alaska,2,2,2,2
pltl-5-0-29-3-0-200004.alaska,16,16,17,17
pltl-5-0-4-3-0-200007.alaska,1,1,1,1
unsat4.txt,3,3,3,3
pltl-12-0-53-3-0-200004.alaska,1,1,1,1
pltl-5-0-13-3-0-200000.alaska,1,1,1,1
unsat217.txt,6,6,6,6
unsat92.txt,3,3,3,3
unsat185.txt,3,3,3,3
pltl-5-0-2-3-0-200002.alaska,1,1,1,1
